winner,looser,total turns,width,height,ships,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,17,6,6,,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,14,6,6,,,
tie,tie,22,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,13,6,6,,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,15,6,6,[I@2c9f9fb0,,
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,19,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,14,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,22,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,13,6,6,[I@2c9f9fb0,,
tie,tie,22,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,[I@2c9f9fb0,,
tie,tie,13,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,16,6,6,[I@2c9f9fb0,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,[2,3, 4]
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,17,6,6,[2,3, 4]
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,20,6,6,[2,3, 4]
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,15,6,6,[2,3, 4]
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,17,6,6,[2,3, 4]
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,18,6,6,[2,3, 4]
tie,tie,20,6,6,[2,3, 4]
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,20,6,6,[2,3, 4]
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,19,6,6,[2,3, 4]
tie,tie,21,6,6,[2,3, 4]
cluster placement/parity shooting/clockwise targeting,random placement/parity shooting/propability targeting,18,6,6,02/03/2004,,
random placement/parity shooting/propability targeting,cluster placement/parity shooting/clockwise targeting,21,6,6,02/03/2004,,
